baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	newp	Treatment	tissue	otu
Otu00179	9.62811445353845	1.48602769433739	0.597078142881684	2.48883284718038	0.0128163206543703	0.0398784746514829	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	4.0e-02	pre-weaning	wean-feces	Otu00179
Otu00180	13.371808557407	-2.755144889635	0.57654231159187	-4.77873841041757	1.76398513751892e-06	1.18921998021067e-05	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	0.0e+00	post-weaning	wean-feces	Otu00180
Otu00181	331.414942288547	12.0760375035691	0.935585981994686	12.907458786228	4.08562974582372e-38	2.20351630958093e-36	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	0.0e+00	pre-weaning	wean-feces	Otu00181
Otu00182	49.3847984726866	4.29375179690611	0.754361310875414	5.69190351493946	1.25630843806605e-08	1.11687200702795e-07	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema_2	0.0e+00	pre-weaning	wean-feces	Otu00182
Otu00185	4.29503215749454	7.10377541102882	1.33394773643372	5.32537761188501	1.00743530217625e-07	7.91276853845228e-07	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	0.0e+00	pre-weaning	wean-feces	Otu00185
Otu00188	32.8008969955931	9.14716531312413	0.769589429813101	11.8857730612875	1.40330670323533e-32	5.16034146780629e-31	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	0.0e+00	pre-weaning	wean-feces	Otu00188
Otu00190	26.2074249771568	4.45582602611618	0.739378213417364	6.02645025949791	1.67599859892738e-09	1.69485358316531e-08	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00190
Otu00191	139.21884689097	7.7030846821718	0.737290579185656	10.4478273555047	1.49920279423277e-25	4.66482715590119e-24	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	0.0e+00	pre-weaning	wean-feces	Otu00191
Otu00194	4.44276671113869	-1.46176170602966	0.52355895631025	-2.79197154095373	0.00523879635374978	0.0184268967399286	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	1.8e-02	post-weaning	wean-feces	Otu00194
Otu00195	14.3696071504249	-3.33549294301637	0.725581881038611	-4.59699040202311	4.28637356613062e-06	2.62702743560581e-05	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Syntrophococcus	0.0e+00	post-weaning	wean-feces	Otu00195
Otu00197	26.8109728403047	9.70467451680449	0.754467793829333	12.8629407327621	7.27551389618611e-38	3.6786817137591e-36	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	NA	0.0e+00	pre-weaning	wean-feces	Otu00197
Otu00200	245.376469153695	12.4291241621559	0.951658223640548	13.0604915224801	5.53691325879951e-39	3.44566371259139e-37	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Pyramidobacter	0.0e+00	pre-weaning	wean-feces	Otu00200
Otu00205	79.5389995800034	11.1389943058	0.803983981123619	13.8547465712346	1.19076394187424e-43	8.7575275361478e-42	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	0.0e+00	pre-weaning	wean-feces	Otu00205
Otu00210	70.3462285790149	4.52100750857226	0.608619111715574	7.42830355068617	1.09999295020099e-13	1.64795240131964e-12	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	0.0e+00	pre-weaning	wean-feces	Otu00210
Otu00211	76.3651832167828	4.39179776720843	1.42509884526729	3.08174957954212	0.00205787881135678	0.00816090175680213	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	8.0e-03	pre-weaning	wean-feces	Otu00211
Otu00215	8.73571774381888	-2.27541920589057	0.800220827329726	-2.8434891072299	0.00446225346547514	0.0160442802380862	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium]_hallii_group	1.6e-02	post-weaning	wean-feces	Otu00215
Otu00218	0.832173023576792	2.64834685856818	0.747891693325394	3.54108339777473	0.000398487601523578	0.00187428180018939	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	2.0e-03	pre-weaning	wean-feces	Otu00218
Otu00219	26.6132965546922	9.37679130102051	1.57711654356747	5.94552846412354	2.75566357418908e-09	2.71869735551094e-08	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	0.0e+00	pre-weaning	wean-feces	Otu00219
Otu00220	21.6584079090997	1.727908566054	0.584273668407306	2.95736169450212	0.00310283911934118	0.0116753341746373	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	NA	1.2e-02	pre-weaning	wean-feces	Otu00220
Otu00221	9.42068099324902	6.68972919097479	0.817911311172836	8.1790398293699	2.86114532796953e-16	5.14370348961632e-15	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00221
Otu00223	10.5544904684759	-2.87757528345719	1.16875355913463	-2.46208900154092	0.0138130384912038	0.0421688609033354	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	4.2e-02	post-weaning	wean-feces	Otu00223
Otu00226	6.08709226086648	-1.69548422259729	0.58036123720779	-2.92142912706324	0.00348429540068754	0.012871209950485	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	1.3e-02	post-weaning	wean-feces	Otu00226
Otu00228	6.90884192863256	-1.97704090715586	0.652151820287906	-3.03156542027753	0.00243289194080987	0.0094625460582461	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	9.0e-03	post-weaning	wean-feces	Otu00228
Otu00232	19.4985347237549	-3.15174295645375	0.819014703941774	-3.8482129091028	0.00011898262624652	0.000617031696368173	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	1.0e-03	post-weaning	wean-feces	Otu00232
Otu00236	14.101391329898	-1.83956780725499	0.732360794621834	-2.51183272065359	0.0120106005847292	0.0375157369615672	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	3.8e-02	post-weaning	wean-feces	Otu00236
Otu00237	5.53648598028259	7.01180524503993	0.951844615924814	7.36654400070041	1.75108165584593e-13	2.52968760639171e-12	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00237
Otu00239	24.7172193768011	6.98812582208031	0.76564480604635	9.12711190214391	7.03509873937393e-20	1.49773549477724e-18	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00239
Otu00240	10.1038298829642	2.06129417810579	0.57268491073828	3.59935130026118	0.000319011989208811	0.00151812176041134	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	2.0e-03	pre-weaning	wean-feces	Otu00240
Otu00241	11.5974091698816	5.50043103730801	0.735805260723455	7.47538965935076	7.69754231612769e-14	1.17496447806553e-12	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmatales_Incertae_Sedis	NA	0.0e+00	pre-weaning	wean-feces	Otu00241
Otu00243	11.2925809217278	2.04193288902444	0.693221323215079	2.94557137907153	0.00322358759869812	0.0120178910937639	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-014	1.2e-02	pre-weaning	wean-feces	Otu00243
Otu00247	9.13547417670215	-2.4040483432057	0.693238050851641	-3.46785399366398	0.000524632250392439	0.00237110329925968	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	2.0e-03	post-weaning	wean-feces	Otu00247
Otu00249	10.7149702594791	-3.241053638097	0.535163916472231	-6.05618865236997	1.39384527004302e-09	1.5034944312864e-08	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Olsenella	0.0e+00	post-weaning	wean-feces	Otu00249
Otu00250	16.1070729149835	8.82500965172932	1.46358200746002	6.02973363074114	1.64230139646847e-09	1.6817997844848e-08	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	0.0e+00	pre-weaning	wean-feces	Otu00250
Otu00251	33.1274452244686	5.70198398513845	0.783931778208693	7.27357168523981	3.50104868363326e-13	4.96903225449002e-12	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00251
Otu00253	7.99383123489541	-2.26134093819647	0.812180347044209	-2.78428423739412	0.00536459997394476	0.018787711597062	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	1.9e-02	post-weaning	wean-feces	Otu00253
Otu00259	11.2168865973215	-2.84118152506339	0.778528222221413	-3.64942649985957	0.00026282642551562	0.00129650352586668	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium]_coprostanoligenes_group	1.0e-03	post-weaning	wean-feces	Otu00259
Otu00262	3.01611177973589	2.99286309862673	0.968467505012678	3.09030822731378	0.00199948879329652	0.00796840607771863	Bacteria	Cyanobacteria	Cyanobacteria_unclassified	Cyanobacteria_unclassified	Cyanobacteria_unclassified	NA	8.0e-03	pre-weaning	wean-feces	Otu00262
Otu00264	10.2922441903237	-2.00305750617682	0.533086777460443	-3.75746987332743	0.000171640023434819	0.000862464465582412	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enterorhabdus	1.0e-03	post-weaning	wean-feces	Otu00264
Otu00266	2.17057794936478	4.12684469061359	1.22719944227857	3.36281499847423	0.000771520488846741	0.00337383824582169	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	3.0e-03	pre-weaning	wean-feces	Otu00266
Otu00275	39.3577118984615	10.2122790093543	1.10781793169925	9.21837308924036	3.0164199027968e-20	6.59536135503408e-19	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	0.0e+00	pre-weaning	wean-feces	Otu00275
Otu00277	4.28806033660533	4.8411026236201	1.67115824007947	2.89685471280678	0.00376924268045383	0.013735663641834	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	1.4e-02	pre-weaning	wean-feces	Otu00277
Otu00279	37.2937196221928	6.88450451447992	0.69224687003789	9.94515802448208	2.64753490658921e-23	7.13951913143556e-22	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00279
Otu00282	36.5853502449738	5.52133484090551	0.552721737392557	9.98935715275499	1.69678542217083e-23	4.73344622943519e-22	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group	0.0e+00	pre-weaning	wean-feces	Otu00282
Otu00288	10.516052821956	1.98843491577245	0.600706763187972	3.3101590287077	0.00093242978721957	0.00403388073722263	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	4.0e-03	pre-weaning	wean-feces	Otu00288
Otu00289	27.4946277724301	3.76924594167431	0.572214114015332	6.58712508019912	4.48424500174805e-11	5.49659728244572e-10	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00289
Otu00291	1.97993334189471	2.47874476220554	0.986201163884239	2.51342713127897	0.0119564475469729	0.0374913413391516	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	3.7e-02	pre-weaning	wean-feces	Otu00291
Otu00292	42.1057004931394	3.8896137649529	1.27252249503153	3.0566169007932	0.00223850173640594	0.00879100924637089	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	NA	9.0e-03	pre-weaning	wean-feces	Otu00292
Otu00295	18.4100400730041	3.41054556867559	0.736295264211599	4.63203518268923	3.62088601056351e-06	2.28851311136397e-05	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group	0.0e+00	pre-weaning	wean-feces	Otu00295
Otu00301	60.193628466673	10.6982050744578	0.845397384400351	12.6546465270249	1.05449106462845e-36	4.48991195412852e-35	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00301
Otu00306	4.11364884985805	-2.25713374720106	0.670309223820608	-3.36730223453575	0.000759074482737864	0.00333745248116811	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	NA	3.0e-03	post-weaning	wean-feces	Otu00306
Otu00308	5.98303202848242	-2.29295720110022	0.65653795896348	-3.49249753162828	0.000478526018683852	0.00222487097192664	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_RC9_gut_group	2.0e-03	post-weaning	wean-feces	Otu00308
Otu00309	10.0885028605521	-2.7968966133746	0.60015307997821	-4.6603053565536	3.15740618210187e-06	2.02725523914319e-05	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	0.0e+00	post-weaning	wean-feces	Otu00309
Otu00314	29.7860084048291	6.95633109919514	0.703132867634392	9.89333797266355	4.44939425511924e-23	1.12486248512233e-21	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmatales_Incertae_Sedis	NA	0.0e+00	pre-weaning	wean-feces	Otu00314
Otu00316	16.2735594484018	3.50676838038631	0.580880726612609	6.03698525312751	1.57020066467941e-09	1.62857992016108e-08	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00316
Otu00318	13.9918883390122	8.92280627773075	0.921471378949127	9.68321586711307	3.55358624125912e-22	8.2138607690818e-21	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium_5	0.0e+00	pre-weaning	wean-feces	Otu00318
Otu00321	8.81578717504665	-2.01419306806853	0.650624645247335	-3.0957835409122	0.00196293599444655	0.00786146148270922	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	NA	8.0e-03	post-weaning	wean-feces	Otu00321
Otu00324	32.8818622031669	3.62762671629251	0.63395341027509	5.72222920090986	1.05135339496744e-08	9.45049885031842e-08	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00324
Otu00328	20.0200175993512	2.8966406635443	0.903009514785661	3.20776316983974	0.00133771607417263	0.00549346347210992	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	5.0e-03	pre-weaning	wean-feces	Otu00328
Otu00333	23.673492367337	3.08763187226215	0.935011464299902	3.30223958759056	0.000959161044964107	0.00410561526653948	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_unclassified	NA	4.0e-03	pre-weaning	wean-feces	Otu00333
Otu00350	7.79555314891983	3.1038627252319	0.85900001470798	3.61334420499058	0.000302273007880786	0.00145643393065198	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	1.0e-03	pre-weaning	wean-feces	Otu00350
Otu00352	31.9098621144994	5.75131627300953	0.600082029329771	9.58421681021367	9.31617502205983e-22	2.09355155356845e-20	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Pseudoflavonifractor	0.0e+00	pre-weaning	wean-feces	Otu00352
Otu00354	47.6086314816924	10.4476488527774	0.820012388362883	12.7408427007251	3.50587354228897e-37	1.57569538650654e-35	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	0.0e+00	pre-weaning	wean-feces	Otu00354
Otu00355	11.7365223798751	1.88330313786278	0.67365850808298	2.79563475450206	0.00517979027323764	0.0182989097425732	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-010	1.8e-02	pre-weaning	wean-feces	Otu00355
Otu00356	9.95144054611713	2.87281057908995	1.16019818866111	2.47613779022118	0.0132812310166032	0.041034017939454	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	4.1e-02	pre-weaning	wean-feces	Otu00356
Otu00359	7.81373286399641	2.29932182554888	0.561592269519763	4.09429037816904	4.23463330788092e-05	0.000234064261077502	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_RC9_gut_group	0.0e+00	pre-weaning	wean-feces	Otu00359
Otu00367	8.63129997187111	5.72394601303922	1.16093689198997	4.93045406045092	8.20387080562901e-07	5.82186972083673e-06	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-008	0.0e+00	pre-weaning	wean-feces	Otu00367
Otu00372	8.48482043082019	7.96978443986772	1.44009829169806	5.5341947739347	3.12661380958252e-08	2.66255849679186e-07	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Succiniclasticum	0.0e+00	pre-weaning	wean-feces	Otu00372
Otu00376	5.16315479354258	-2.13885399242828	0.867705547871454	-2.46495369042533	0.0137030960792547	0.0419916845762009	Bacteria	Tenericutes	Mollicutes	Mollicutes_RF9	Mollicutes_RF9_unclassified	NA	4.2e-02	post-weaning	wean-feces	Otu00376
Otu00380	17.1360209842411	4.64181848101113	0.724005136867623	6.41130600411725	1.44278268993545e-10	1.66744456593968e-09	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00380
Otu00381	2.37835754577681	5.80590609302291	1.17132410544504	4.95670332919256	7.16993282143862e-07	5.13316429428659e-06	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Acetobacterium	0.0e+00	pre-weaning	wean-feces	Otu00381
Otu00383	13.4625783659229	2.63055892220625	0.80174968639621	3.28102270177412	0.0010343141889495	0.00438094334481753	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	4.0e-03	pre-weaning	wean-feces	Otu00383
Otu00390	78.9436701067785	10.77516677266	1.32302428913236	8.14434539197042	3.8133926504707e-16	6.70659707441477e-15	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	0.0e+00	pre-weaning	wean-feces	Otu00390
Otu00394	6.85407234669133	2.09116316837277	0.827213888194423	2.52795945307107	0.0114727600850901	0.0362557144876479	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus_1	3.6e-02	pre-weaning	wean-feces	Otu00394
Otu00401	4.84042610348546	2.44945321103822	0.932774336564802	2.62598692418898	0.00863981363001028	0.0284130456369037	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_RC9_gut_group	2.8e-02	pre-weaning	wean-feces	Otu00401
Otu00403	3.44248656492784	6.62902257088822	1.04608033723314	6.33701096841359	2.34265320875185e-10	2.59617321353458e-09	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Pseudoflavonifractor	0.0e+00	pre-weaning	wean-feces	Otu00403
Otu00405	7.84202795340862	6.97332143340637	0.866200337497154	8.05047184991345	8.24754440115882e-16	1.41963051500798e-14	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	0.0e+00	pre-weaning	wean-feces	Otu00405
Otu00408	8.52833015071026	8.05206146086503	0.970618538509485	8.29580431590566	1.07852949154378e-16	2.07745323490219e-15	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenella	0.0e+00	pre-weaning	wean-feces	Otu00408
Otu00418	7.41457455277835	7.33472276166233	1.86963454201144	3.92307833260895	8.7424710945404e-05	0.000462265301665568	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00418
Otu00422	4.17480343053564	1.39494980025221	0.58193120990842	2.39710429085207	0.0165252194798967	0.0496985225250424	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-010	5.0e-02	pre-weaning	wean-feces	Otu00422
Otu00426	2.15927963939218	3.53191841223797	0.895672594914747	3.94331414435444	8.03632754069432e-05	0.00042772295923827	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter	0.0e+00	pre-weaning	wean-feces	Otu00426
Otu00427	3.63352498282815	5.84271886844021	0.825205281166549	7.08032171119974	1.43820187982224e-12	2.00604365651068e-11	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00427
Otu00431	38.7602438356791	10.2336961645921	0.903266352455195	11.3296550201118	9.35725569935932e-30	3.29131298294856e-28	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium_5	0.0e+00	pre-weaning	wean-feces	Otu00431
Otu00433	2.84435006627704	3.00384291138609	0.55501611766575	5.41217239603681	6.22646993182427e-08	5.0880951261069e-07	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00433
Otu00435	1.85332498450371	5.24584462818486	1.24888501365773	4.20042243346395	2.66417431358474e-05	0.000149674793034031	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Howardella	0.0e+00	pre-weaning	wean-feces	Otu00435
Otu00438	1.07802514607205	4.61011855717569	1.68670138462133	2.73321561196837	0.00627192599723278	0.0214092326234655	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	2.1e-02	pre-weaning	wean-feces	Otu00438
Otu00441	6.09866754105832	7.67111828957228	1.16535958335107	6.58261913246851	4.62232157637277e-11	5.58128082878443e-10	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00441
Otu00446	12.5297448320855	7.66328195921346	1.11519969117466	6.87166793522115	6.34555301258269e-12	8.14849585266571e-11	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00446
Otu00464	1.91089747702042	4.97241506245402	1.37618280746989	3.61319370905075	0.000302448578924021	0.00145643393065198	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	1.0e-03	pre-weaning	wean-feces	Otu00464
Otu00468	3.97057208416996	6.65907568532132	1.53199521685034	4.34666871807331	1.38220739216894e-05	7.98718414474767e-05	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00468
Otu00472	43.8192642048259	10.513584054552	1.04343668573438	10.0759195055064	7.05973293063219e-24	2.0397585503148e-22	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	0.0e+00	pre-weaning	wean-feces	Otu00472
Otu00478	8.61018945281611	3.47421842245908	1.26514653909097	2.7460996138482	0.00603084489946	0.0208502287336032	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-010	2.1e-02	pre-weaning	wean-feces	Otu00478
Otu00482	21.3465996691758	8.6024467328568	1.3136223707944	6.54864512367779	5.80614181260876e-11	6.80749090782679e-10	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	0.0e+00	pre-weaning	wean-feces	Otu00482
Otu00490	1.92428634119688	4.68399807182492	1.4897186716869	3.14421652950147	0.00166532167233165	0.00677007654731812	Bacteria	Elusimicrobia	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium	7.0e-03	pre-weaning	wean-feces	Otu00490
Otu00492	8.626478387916	5.50748210666488	0.998312884574357	5.51678956744414	3.45248417037909e-08	2.90943718107988e-07	Bacteria	Lentisphaerae	Oligosphaeria	Oligosphaerales	Oligosphaeraceae	Oligosphaera	0.0e+00	pre-weaning	wean-feces	Otu00492
Otu00494	4.47532643135895	3.41019720304899	0.654255339112284	5.21233377732318	1.86479636558126e-07	1.42322666014645e-06	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00494
Otu00504	3.30759811446658	3.06044834425773	0.706198162581348	4.33369627169653	1.46626435802444e-05	8.41282174214021e-05	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00504
Otu00510	6.54519554030414	6.5510856625028	1.14225137290934	5.73523991117387	9.73744124786999e-09	9.05349189516617e-08	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	0.0e+00	pre-weaning	wean-feces	Otu00510
Otu00511	0.533687867581088	3.04096458556412	1.14870116908	2.64730694754986	0.00811356709070674	0.0269011302310728	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	2.7e-02	pre-weaning	wean-feces	Otu00511
Otu00512	1.86414674574816	5.72803870793388	1.56527611252137	3.65944299674202	0.000252764059459651	0.00125451609879054	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas	1.0e-03	pre-weaning	wean-feces	Otu00512
Otu00518	10.373698865549	8.33463582517539	0.925021310286453	9.01020952976142	2.05663176448413e-19	4.26619255760938e-18	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00518
Otu00522	1.22729432129593	3.4994222197006	1.07577458246066	3.25293260944709	0.00114220582416642	0.00478779539767167	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_unclassified	NA	5.0e-03	pre-weaning	wean-feces	Otu00522
Otu00526	7.56948237159962	3.25552910783836	0.814762059258313	3.99568078906608	6.45086064594923e-05	0.000347916417504862	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00526
Otu00529	10.7885147354344	4.30081754065998	1.0220199425648	4.20815422629318	2.57465125443862e-05	0.000145656843695164	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-010	0.0e+00	pre-weaning	wean-feces	Otu00529
Otu00532	5.18084100505653	3.6346162771023	1.32519958443498	2.74269349295939	0.00609375362891342	0.0209780710033658	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella	2.1e-02	pre-weaning	wean-feces	Otu00532
Otu00533	0.753958154642092	3.86906117100487	1.45482758724466	2.65946370891455	0.00782651612597283	0.026056179201284	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	NA	2.6e-02	pre-weaning	wean-feces	Otu00533
Otu00534	3.20430449777145	4.52045375185963	1.72530887310077	2.62008375563232	0.00879081735682814	0.0287925961201375	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	NA	2.9e-02	pre-weaning	wean-feces	Otu00534
