baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	newp	Treatment	tissue	otu
Otu00033	104.250437128569	-1.2637253887633	0.404176586706537	-3.12666648768762	0.00176800367502392	0.00711599489101668	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-003	7.0e-03	post-weaning	wean-feces	Otu00033
Otu00034	89.0945491423122	-0.948601855854799	0.369799472399954	-2.56517904067977	0.0103122578075844	0.0328449471115583	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	3.3e-02	post-weaning	wean-feces	Otu00034
Otu00035	48.521335540391	-1.74779974728681	0.582223773995162	-3.0019381298939	0.00268266692421667	0.0102856755530393	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	1.0e-02	post-weaning	wean-feces	Otu00035
Otu00038	647.164742394581	4.13308035398147	0.425931762416943	9.70362090520879	2.90984635930985e-22	6.92372266082845e-21	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-002	0.0e+00	pre-weaning	wean-feces	Otu00038
Otu00043	88.1375623034445	-5.56155246176764	0.985304637302256	-5.64450044302548	1.65661555042385e-08	1.45674128292706e-07	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	0.0e+00	post-weaning	wean-feces	Otu00043
Otu00044	86.7308519740221	-1.58881341310232	0.55118473334707	-2.88254248889342	0.00394479930703558	0.0143109535398735	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	1.4e-02	post-weaning	wean-feces	Otu00044
Otu00047	105.870927605226	-3.9281534219506	0.517338089551	-7.59301026019534	3.12557786006116e-14	5.05718497757896e-13	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Mitsuokella	0.0e+00	post-weaning	wean-feces	Otu00047
Otu00049	622.989111265399	5.13122647548574	0.734159361183157	6.98925430470076	2.7635110984273e-12	3.66504996496342e-11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	0.0e+00	pre-weaning	wean-feces	Otu00049
Otu00051	32.1024972126003	1.62030244431794	0.458019347735945	3.53762881923509	0.000403737187915153	0.00188799644522172	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	NA	2.0e-03	pre-weaning	wean-feces	Otu00051
Otu00052	62.3940005381223	1.56711689249718	0.555969792733028	2.81870870140906	0.00482172541731289	0.0172600701885227	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	1.7e-02	pre-weaning	wean-feces	Otu00052
Otu00053	1680.67953778003	13.529389198127	0.913732552775578	14.8067278078577	1.3253704522078e-49	1.78704115972686e-47	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	0.0e+00	pre-weaning	wean-feces	Otu00053
Otu00055	335.147951421925	4.12482237802432	0.484772456069581	8.50878041105593	1.75772364930428e-17	3.55499608071792e-16	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00055
Otu00056	221.68856357265	12.7293226241742	0.894461070037534	14.2312762965079	5.86023829797982e-46	5.92616597883209e-44	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Pyramidobacter	0.0e+00	pre-weaning	wean-feces	Otu00056
Otu00057	84.0974201047848	-3.95152861589935	0.806169926713772	-4.90160757051203	9.50555757380941e-07	6.62482197486845e-06	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	0.0e+00	post-weaning	wean-feces	Otu00057
Otu00058	24.7720995305451	1.71532713277267	0.571076699355125	3.003672071912	0.00266742662576988	0.0102759435249897	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	1.0e-02	pre-weaning	wean-feces	Otu00058
Otu00059	50.2707787546001	1.13230531075813	0.423569868436804	2.67324329498916	0.00751217462149319	0.0251130135073884	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	2.5e-02	pre-weaning	wean-feces	Otu00059
Otu00060	576.248932220784	11.635087491873	0.878702309591018	13.241216467598	5.07205855307715e-40	3.41941280786618e-38	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	0.0e+00	pre-weaning	wean-feces	Otu00060
Otu00063	200.96617432219	2.24276843974424	0.657434421900711	3.41139490880347	0.000646314100992731	0.00288877407570784	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	3.0e-03	pre-weaning	wean-feces	Otu00063
Otu00068	48.1927548191001	10.5646485030334	0.745915476527384	14.1633319531285	1.54491835177253e-45	1.38870994064887e-43	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	0.0e+00	pre-weaning	wean-feces	Otu00068
Otu00070	98.7508641569451	1.97432422505244	0.737361979217951	2.67755089182441	0.00741625850209821	0.024944334681862	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema_2	2.5e-02	pre-weaning	wean-feces	Otu00070
Otu00072	43.0304698290581	-2.16545689092378	0.440603331014572	-4.91475378984858	8.88941032025063e-07	6.25350691224588e-06	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_RC9_gut_group	0.0e+00	post-weaning	wean-feces	Otu00072
Otu00074	10.0890981608166	3.26555383483687	0.938664437870606	3.47893635157298	0.000503408136120231	0.00230088803458343	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	2.0e-03	pre-weaning	wean-feces	Otu00074
Otu00075	41.518510100678	-2.92893656198668	0.415648111759186	-7.04667356622954	1.83245517040988e-12	2.51263768281625e-11	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	0.0e+00	post-weaning	wean-feces	Otu00075
Otu00079	756.686993668004	13.5728011185904	0.971708095075185	13.9679819355012	2.44455712964141e-44	1.9776467178799e-42	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00079
Otu00082	39.6314227469337	-3.94145862587205	0.687464678999694	-5.7333252838635	9.84805051637359e-09	9.05349189516617e-08	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	0.0e+00	post-weaning	wean-feces	Otu00082
Otu00085	65.9194811881973	5.62937401490179	1.28931224901785	4.36618361393062	1.26436206640278e-05	7.41209356318731e-05	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	0.0e+00	pre-weaning	wean-feces	Otu00085
Otu00086	18.286860743985	2.45293476951396	0.519654982784695	4.72031415222717	2.35480673663638e-06	1.54881191051938e-05	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0e+00	pre-weaning	wean-feces	Otu00086
Otu00087	24.8775080000715	-2.39038928922627	0.848507777970071	-2.81716838818487	0.00484491171713729	0.0172666677496214	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1	1.7e-02	post-weaning	wean-feces	Otu00087
Otu00088	71.0812808129346	-1.53983202890033	0.59322252452108	-2.59570728563193	0.00943964450532447	0.0305110110212656	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	NA	3.1e-02	post-weaning	wean-feces	Otu00088
Otu00089	154.985721272608	4.21020535229331	0.504914276555027	8.33845574939784	7.52669860556398e-17	1.48514613948811e-15	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	0.0e+00	pre-weaning	wean-feces	Otu00089
Otu00091	136.778839215448	3.32669967564478	0.435529686796892	7.638284545219	2.2013494243815e-14	3.63447282515231e-13	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00091
Otu00092	184.357073937038	12.1196952504637	0.774042330014554	15.6576646786692	2.94514622293606e-55	4.76524658871055e-53	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	0.0e+00	pre-weaning	wean-feces	Otu00092
Otu00094	43.4936959905366	-1.87308620288869	0.621470994710048	-3.0139559510136	0.00257865242574108	0.00998148235609825	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_unclassified	NA	1.0e-02	post-weaning	wean-feces	Otu00094
Otu00095	21.7762241769379	-2.48842538442834	0.921357793723682	-2.70082415471988	0.00691678977982863	0.0234128992965747	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	2.3e-02	post-weaning	wean-feces	Otu00095
Otu00096	66.4476883202277	11.1977832280806	0.862589778349587	12.9815858118625	1.55624645983638e-38	8.99288132862592e-37	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	0.0e+00	pre-weaning	wean-feces	Otu00096
Otu00097	28.9511828350056	-2.28136677014514	0.459540372344902	-4.96445341353575	6.88948204749005e-07	5.00848277604999e-06	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	0.0e+00	post-weaning	wean-feces	Otu00097
Otu00101	173.197769277572	3.26582616608437	0.486459674984925	6.7134571147867	1.90066496906793e-11	2.40255931246242e-10	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	0.0e+00	pre-weaning	wean-feces	Otu00101
Otu00104	34.0597470450726	-1.47933734983433	0.472518069743651	-3.1307529691656	0.0017435875912859	0.00705281180675146	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	7.0e-03	post-weaning	wean-feces	Otu00104
Otu00106	17.4566708223646	-2.83593500654305	0.578755829134495	-4.90005432996514	9.58101571149084e-07	6.62482197486845e-06	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	0.0e+00	post-weaning	wean-feces	Otu00106
