"pairs","F.Model","R2","p.value","p.adjusted"
"1","feces_0_control vs feces_0_RPS",0.806384837429889,0.0300818197724271,0.5619,1
"34","feces_21_control vs feces_21_RPS",3.81241556295703,0.127880129501955,4e-04,0.0612
"82","feces_12_control vs feces_12_RPS",0.774480428514339,0.0289260675135093,0.7256,1
"94","feces_15_control vs feces_15_RPS",1.58042268629531,0.059458147259267,0.0783,1
"129","feces_19_control vs feces_19_RPS",3.84577557255725,0.16127701784559,1e-04,0.0153
"125","ileum_21_control vs ileum_21_RPS",2.27882725558783,0.159594847307649,0.0119,1
"69","colon_21_control vs colon_21_RPS",1.4211586159547,0.105889413620763,0.1818,1
"116","cecum_21_control vs cecum_21_RPS",1.84965819891598,0.133552624357239,0.0495,1
