group2	4-nitrophenyl sulfate	a-D-galactopyranoside	a-L-fucopyranoside	B-D-galactopyranoside	B-D-glucopyranoside	B-D-xylopyranoside	N-acetyl-B-D-glucosamine	day	tissue	pig	treatment	muc_deg
12 feces 71	4.64219304452829e-08	0.00012024752849665	1.28992127153892e-05	3.89185977421272e-06	1.31756833403159e-05	4.17693169101341e-06	6.00053833189071e-05	12	feces	71	control	7.68428777389543e-05
12 feces 72	1.25715702562197e-06	6.84256662554939e-05	1.7654486036839e-05	1.48265745692216e-05	6.60064863647646e-05	5.55437494472448e-06	4.93920447475021e-05	12	feces	72	control	8.31302623791847e-05
12 feces 73	2.3024095692555e-07	9.6513251888509e-05	1.24071598336304e-05	1.75059417706476e-05	1.04870650149695e-05	7.27714311696579e-06	8.55954523677398e-05	12	feces	73	control	0.000115738794928943
12 feces 74	0	8.33716828752373e-05	8.99435531788473e-06	1.71902852049911e-05	1.16475478407224e-05	4.32544324715682e-06	7.00969625696792e-05	12	feces	74	RPS	9.6281603092555e-05
12 feces 75	0	7.07201914047375e-05	7.47177658942365e-06	8.92565359477123e-06	1.26427679024033e-05	3.78708358332105e-06	7.6842641262186e-05	12	feces	75	RPS	9.32400714463809e-05
12 feces 76	7.43163582090348e-09	0.000139472527590288	1.26633986928104e-05	1.15121806298278e-07	2.00977377776045e-05	5.91824517715632e-06	5.35308042153931e-05	12	feces	76	RPS	6.63167563503228e-05
12 feces 77	2.24685207302646e-07	0.000108067579566305	1.0076871657754e-05	2.18620023767083e-05	1.10644995812471e-05	3.02039458466185e-06	5.87762311372453e-05	12	feces	77	RPS	9.09397903790103e-05
12 feces 78	1.98694491382326e-07	5.98137357940917e-05	9.54211229946524e-06	2.69162210338681e-05	9.35629672171132e-06	3.20786311110628e-06	5.04782757825326e-05	12	feces	78	RPS	8.71353036072482e-05
12 feces 80	3.95532168076396e-07	9.98083943987287e-05	1.36289364230541e-05	3.63562091503268e-06	1.66775597967417e-05	6.21711963370897e-06	0.000103132694309852	12	feces	80	RPS	0.000120792783816015
12 feces 82	2.1539925797509e-07	0.000206361107535595	1.81094028520499e-05	1.25928401663696e-05	1.94571265786695e-05	4.46838858443915e-06	5.81170512078286e-05	12	feces	82	control	8.90346934842232e-05
