group2	4-nitrophenyl sulfate	a-D-galactopyranoside	A-D-glucopyranoside	a-L-fucopyranoside	B-D-galactopyranoside	B-D-glucopyranoside	B-D-xylopyranoside	N-acetyl-B-D-glucosamine	day	tissue	pig	treatment	muc_deg
21 feces 71	5.1809631929649e-07	0.000152048054070113	1.10573974630927e-05	9.14074527692634e-06	1.80549814250724e-05	2.78576203208556e-05	6.75133689839571e-06	4.43683155080214e-05	21	feces	71	control	2.74675759577112e-05
21 feces 72	2.12622883872574e-06	0.000326212492572787	1.67727102332593e-05	1.26630049113577e-05	3.22720828483853e-05	6.61393345216875e-05	8.16807783719548e-06	6.41915478312537e-05	21	feces	72	control	3.97300218205382e-05
21 feces 73	1.46886672809338e-06	0.000129101678550208	7.40686879544931e-06	9.42298249236804e-06	1.71860379955438e-05	3.0059789067142e-05	6.45610516934046e-06	4.67747326203208e-05	21	feces	73	control	2.47548231852512e-05
21 feces 74	1.88111272954582e-06	0.000138758912655971	1.06433214675837e-05	4.94823074611874e-06	1.4970936571892e-05	3.3236779560309e-05	4.59187462863934e-06	2.25935828877005e-05	21	feces	74	RPS	2.20645395718876e-05
21 feces 75	1.44284724858471e-06	0.000162227049910873	2.09338533530193e-05	6.64343101855821e-06	1.82351068490383e-05	6.70974450386215e-05	9.72036541889483e-06	5.58637849079026e-05	21	feces	75	RPS	3.87404970390571e-05
21 feces 76	6.35080334373076e-07	0.000161616161616162	1.52074004120166e-05	1.17884692310973e-05	2.01735251740251e-05	3.63339275103981e-05	1.1523321449792e-05	6.70621657754011e-05	21	feces	76	RPS	3.9154271427279e-05
21 feces 77	7.72498690451656e-07	0.000112997623291741	7.68725430069065e-06	1.13799876821199e-05	1.95793875273101e-05	2.72393048128342e-05	7.13940879382055e-06	6.77157605466429e-05	21	feces	77	RPS	2.69791494670827e-05
21 feces 78	3.92004626610682e-06	0.000255273321449792	1.1339636068559e-05	9.50095267715526e-06	2.57511868548036e-05	6.1172385620915e-05	9.93946821152704e-06	6.12113784907902e-05	21	feces	78	RPS	3.47001032233481e-05
21 feces 79	3.50996128555444e-07	0.000173202614379085	1.44702482086143e-05	1.11014691524395e-05	2.18464799100313e-05	3.16269310754605e-05	8.07895127748069e-06	5.7961972667855e-05	21	feces	79	RPS	3.40016647670899e-05
21 feces 80	2.05382744767733e-06	0.000137000519904932	5.12297809861544e-06	3.85829604607192e-06	1.75722346238394e-05	5.74030748663102e-05	4.59558823529411e-06	2.40028966131907e-05	21	feces	80	RPS	1.56306898276588e-05
21 feces 81	1.80120091545639e-07	0.00018779894533571	1.47023696434724e-05	1.22099528958697e-05	2.5227606714652e-05	2.78297682709447e-05	9.27473262032085e-06	6.38016191325014e-05	21	feces	81	control	3.63671752512086e-05
21 feces 82	1.57850508546639e-07	0.00011660724896019	1.45686613349334e-05	1.0889808823112e-05	2.14472455325729e-05	2.58968360071301e-05	7.20254010695186e-06	6.74855169340463e-05	21	feces	82	control	3.2818860773544e-05
21 feces 83	2.1169625862032e-07	0.000180540701128936	1.27341118061081e-05	7.86888941872024e-06	2.21082557580173e-05	2.0736779560309e-05	7.00757575757577e-06	4.2962715389186e-05	21	feces	83	control	2.78222732410244e-05
21 feces 84	4.64237438019412e-07	0.000127536393345217	1.1811256640436e-05	5.59439842357831e-06	2.20451303092287e-05	1.68022133095662e-05	8.32776292335115e-06	5.94659833630422e-05	21	feces	84	control	2.61976554253849e-05
21 feces 85	1.72696897212623e-07	0.00014725193107546	4.37651069048925e-06	6.17555427176935e-06	1.66921492028299e-05	2.18248663101604e-05	8.58957219251337e-06	7.56925876411171e-05	21	feces	85	control	1.93143340519846e-05
21 feces 86	2.28405402280841e-07	8.8433972073678e-05	5.00785424714019e-06	8.07870837813762e-06	1.83576349973999e-05	2.48254604872252e-05	9.68694295900177e-06	0.000142712046939988	21	feces	86	control	2.30019109865604e-05
21 feces 87	3.67664315367335e-07	0.000141549688057041	1.15085964203449e-05	9.35056955009154e-06	2.58960249297192e-05	3.78527926322044e-05	8.87551990493166e-06	4.72426470588235e-05	21	feces	87	control	3.01023501907354e-05
21 feces 90	1.244000185125e-07	7.12362596553773e-05	1.26654354991377e-05	8.00814368238602e-06	1.54072762253055e-05	2.06643642305407e-05	5.56483957219251e-06	4.79426619132501e-05	21	feces	90	RPS	2.63628187722287e-05
21 feces 91	1.75112163222033e-06	0.000181686348781937	3.2453603073453e-05	7.02778721466398e-06	1.83000839826592e-05	5.2987596553773e-05	6.3131313131313e-06	5.6027183600713e-05	21	feces	91	RPS	4.75456432334686e-05
21 feces 92	7.72500253690137e-07	0.000179643865121806	2.07481963431336e-05	7.07235549316068e-06	2.41562466890076e-05	3.77803773024361e-05	1.2319890077243e-05	5.22170231729055e-05	21	feces	92	RPS	4.09129421672275e-05
21 feces 93	1.43911892476629e-06	6.47448752228164e-05	3.51330565818176e-05	4.84055139720995e-06	2.1187314180231e-05	6.13413547237077e-05	1.53966131907308e-05	4.51091800356506e-05	21	feces	93	RPS	5.68093400945247e-05
21 feces 94	1.09931558385861e-06	0.000114197118241236	1.05356287730834e-05	6.4280523160429e-06	1.69595182392678e-05	4.29274361259656e-05	7.45135175282233e-06	4.04467468805704e-05	21	feces	94	RPS	2.55143484258073e-05
21 feces 95	1.3221274061449e-06	0.000152376708259061	1.07380162020041e-05	8.11213278971307e-06	2.62580949548496e-05	5.19255050505051e-05	7.87841651812239e-06	5.85802881758763e-05	21	feces	95	RPS	2.80506929159845e-05
21 feces 96	1.33884749247493e-06	0.000183454025549614	2.94678544176329e-05	1.00765741006939e-05	3.43702180547872e-05	8.90615715983363e-05	1.04018122400475e-05	6.44515002970885e-05	21	feces	96	RPS	5.12850882508493e-05
