well	substrate	tissue	pig	day
172	A-D-glucopyranoside	feces	91	21
173	A-D-glucopyranoside	feces	92	21
174	A-D-glucopyranoside	feces	93	21
175	A-D-glucopyranoside	feces	94	21
176	A-D-glucopyranoside	feces	95	21
177	A-D-glucopyranoside	feces	96	21
178	A-D-glucopyranoside	feces		
179	A-D-glucopyranoside	feces		
180	A-D-glucopyranoside	feces		
181	A-D-glucopyranoside	cec_cont	67	21
182	A-D-glucopyranoside	cec_cont	68	21
183	A-D-glucopyranoside	cec_cont	69	21
184	A-D-glucopyranoside	cec_cont	70	21
185	A-D-glucopyranoside	cec_cont	71	21
186	A-D-glucopyranoside	cec_cont	72	21
187	A-D-glucopyranoside	cec_cont	73	21
188	A-D-glucopyranoside	feces		
189	A-D-glucopyranoside	feces		
190	A-D-glucopyranoside	feces		
191	A-D-glucopyranoside	cec_cont	74	21
192	A-D-glucopyranoside	cec_cont	75	21
193	A-D-glucopyranoside	cec_cont	76	21
194	A-D-glucopyranoside	cec_cont	77	21
195	A-D-glucopyranoside	cec_cont	78	21
196	A-D-glucopyranoside	cec_cont	79	21
197	A-D-glucopyranoside	cec_cont	80	21
198	A-D-glucopyranoside	feces		
199	A-D-glucopyranoside	feces		
200	A-D-glucopyranoside	feces		
